,precision_wn,recall_wn,precision_cn,recall_cn,missing_from_cn,missing_from_wn
dms,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.0,1,0
msgs,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1,0
msg,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1,0
porno,1.0,0.2,1.0,1.0,1,0
fone,0.5,1.0,0.5,1.0,1,1
cel,0.5,1.0,0.5,1.0,1,1
logo,0.09090909090909091,0.5,0.09090909090909091,1.0,1,0
num,0.09090909090909091,1.0,0.09090909090909091,1.0,1,1
os,0.09090909090909091,0.07142857142857142,0.09090909090909091,1.0,1,0
com,0.09090909090909091,1.0,0.09090909090909091,1.0,1,1
um,0.09090909090909091,1.0,0.09090909090909091,1.0,1,1
outro,0.09090909090909091,1.0,0.09090909090909091,1.0,1,1
belo,0.09090909090909091,1.0,0.09090909090909091,1.0,1,1
monte,0.09090909090909091,0.3333333333333333,0.09090909090909091,1.0,1,0
ou,0.09090909090909091,1.0,0.09090909090909091,1.0,1,1
tens,0.09090909090909091,0.14285714285714285,0.09090909090909091,1.0,1,0
pro,0.09090909090909091,0.5,0.09090909090909091,1.0,1,0
wifi,0.1,0.2,0.1,1.0,1,0
instagram,0.1,1.0,0.1,1.0,1,1
twitter,0.1,0.3333333333333333,0.1,1.0,1,0
whatsapp,0.1,1.0,0.1,1.0,1,1
etc,0.1,1.0,0.1,1.0,1,1
app,0.1,1.0,0.1,1.0,1,1
google,0.1,0.5,0.1,1.0,1,0
facebook,0.1,1.0,0.1,1.0,1,1
internet,0.1,0.3333333333333333,0.1,1.0,1,0
mail,0.1,0.08333333333333333,0.1,1.0,1,0
+,1.0,1.0,1.0,1.0,1,1
fb,0.14285714285714285,1.0,0.14285714285714285,1.0,1,1
dm,0.14285714285714285,0.2,0.14285714285714285,1.0,1,0
offline,0.14285714285714285,1.0,0.14285714285714285,1.0,1,1
inbox,0.14285714285714285,1.0,0.14285714285714285,1.0,1,1
skype,0.14285714285714285,1.0,0.14285714285714285,1.0,1,1
insta,0.14285714285714285,1.0,0.14285714285714285,1.0,1,1
chat,0.14285714285714285,0.05263157894736842,0.14285714285714285,1.0,1,0
wilt,1.0,0.25,1.0,1.0,1,0
sont,0.25,1.0,0.25,1.0,1,1
qui,0.25,1.0,0.25,1.0,1,1
ils,0.25,0.2,0.25,1.0,1,0
ont,0.25,1.0,0.25,1.0,1,1
gostei,0.06666666666666667,1.0,0.06666666666666667,1.0,1,1
nessa,0.06666666666666667,1.0,0.06666666666666667,1.0,1,1
á,0.06666666666666667,1.0,0.06666666666666667,1.0,1,1
é,0.06666666666666667,1.0,0.06666666666666667,1.0,1,1
nova,0.06666666666666667,1.0,0.06666666666666667,1.0,1,1
uma,0.06666666666666667,0.3333333333333333,0.06666666666666667,1.0,1,0
tempo,0.06666666666666667,0.3333333333333333,0.06666666666666667,1.0,1,0
eles,0.06666666666666667,1.0,0.06666666666666667,1.0,1,1
sim,0.06666666666666667,1.0,0.06666666666666667,1.0,1,1
gata,0.06666666666666667,1.0,0.06666666666666667,1.0,1,1
nem,0.06666666666666667,1.0,0.06666666666666667,1.0,1,1
vc,0.06666666666666667,1.0,0.06666666666666667,1.0,1,1
diz,0.06666666666666667,1.0,0.06666666666666667,1.0,1,1
amg,0.06666666666666667,1.0,0.06666666666666667,1.0,1,1
ó,0.06666666666666667,1.0,0.06666666666666667,1.0,1,1
ai,1.0,0.14285714285714285,1.0,1.0,1,0
em,0.14285714285714285,0.2,0.14285714285714285,1.0,1,0
do,0.14285714285714285,0.03333333333333333,0.14285714285714285,1.0,1,0
moro,0.14285714285714285,0.5,0.14285714285714285,1.0,1,0
na,0.14285714285714285,0.25,0.14285714285714285,1.0,1,0
nas,0.14285714285714285,0.25,0.14285714285714285,1.0,1,0
da,0.14285714285714285,0.3333333333333333,0.14285714285714285,1.0,1,0
e,0.14285714285714285,0.1,0.14285714285714285,1.0,1,0
txts,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
unread,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
texts,0.16666666666666666,0.14285714285714285,0.16666666666666666,1.0,1,0
voicemails,0.3333333333333333,0.6666666666666666,0.16666666666666666,1.0,1,0
voicemail,0.16666666666666666,0.5,0.16666666666666666,1.0,1,0
replies,0.16666666666666666,0.2,0.16666666666666666,1.0,1,0
stabilized,1.0,0.16666666666666666,1.0,1.0,1,0
aff,0.058823529411764705,1.0,0.058823529411764705,1.0,1,1
sai,0.058823529411764705,1.0,0.058823529411764705,1.0,1,1
ja,0.058823529411764705,1.0,0.058823529411764705,1.0,1,1
mae,0.058823529411764705,1.0,0.058823529411764705,1.0,1,1
rs,0.058823529411764705,0.14285714285714285,0.058823529411764705,1.0,1,0
alo,0.058823529411764705,1.0,0.058823529411764705,1.0,1,1
mor,0.058823529411764705,1.0,0.058823529411764705,1.0,1,1
dai,0.058823529411764705,1.0,0.058823529411764705,1.0,1,1
irma,0.058823529411764705,1.0,0.058823529411764705,1.0,1,1
bj,0.058823529411764705,1.0,0.058823529411764705,1.0,1,1
dae,0.058823529411764705,1.0,0.058823529411764705,1.0,1,1
cu,0.058823529411764705,0.25,0.058823529411764705,1.0,1,0
ali,0.058823529411764705,0.2,0.058823529411764705,1.0,1,0
ri,0.058823529411764705,0.2,0.058823529411764705,1.0,1,0
kk,0.058823529411764705,1.0,0.058823529411764705,1.0,1,1
bia,0.058823529411764705,1.0,0.058823529411764705,1.0,1,1
faze,0.058823529411764705,0.25,0.058823529411764705,1.0,1,0
tyrese,1.0,1.0,1.0,1.0,1,1
emojis,0.1111111111111111,1.0,0.1111111111111111,1.0,1,1
interactions,0.1111111111111111,0.3333333333333333,0.1111111111111111,1.0,1,0
imessage,0.1111111111111111,1.0,0.1111111111111111,1.0,1,1
contacts,0.1111111111111111,0.058823529411764705,0.1111111111111111,1.0,1,0
messages,0.1111111111111111,0.2,0.1111111111111111,1.0,1,0
loading,0.1111111111111111,0.058823529411764705,0.1111111111111111,1.0,1,0
notification,0.1111111111111111,0.2,0.1111111111111111,1.0,1,0
emails,0.1111111111111111,0.2,0.1111111111111111,1.0,1,0
notifications,0.2222222222222222,0.3333333333333333,0.1111111111111111,1.0,1,0
videos,0.5,0.2857142857142857,0.25,1.0,1,0
tweets,0.25,0.125,0.25,1.0,1,0
youtube,0.25,1.0,0.25,1.0,1,1
video,0.25,0.16666666666666666,0.25,1.0,1,0
x,0.5,0.07142857142857142,0.5,1.0,1,0
max,0.5,0.125,0.5,1.0,1,0
sites,0.25,0.1111111111111111,0.125,1.0,1,0
links,0.125,0.041666666666666664,0.125,1.0,1,0
blogs,0.125,0.3333333333333333,0.125,1.0,1,0
tags,0.125,0.058823529411764705,0.125,1.0,1,0
trends,0.125,0.06666666666666667,0.125,1.0,1,0
site,0.125,0.125,0.125,1.0,1,0
posts,0.125,0.04,0.125,1.0,1,0
users,0.125,0.2,0.125,1.0,1,0
mac,1.0,0.25,1.0,1.0,1,0
jt,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
rm,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
rb,0.16666666666666666,0.25,0.16666666666666666,1.0,1,0
rp,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
item,0.16666666666666666,0.2,0.16666666666666666,1.0,1,0
pcs,0.16666666666666666,0.25,0.16666666666666666,1.0,1,0
webcam,1.0,1.0,1.0,1.0,1,1
diva,0.0625,0.5,0.0625,1.0,1,0
anita,0.0625,1.0,0.0625,1.0,1,1
anna,0.0625,1.0,0.0625,1.0,1,1
nina,0.0625,0.5,0.0625,1.0,1,0
vanessa,0.0625,0.3333333333333333,0.0625,1.0,1,0
tia,0.0625,0.3333333333333333,0.0625,1.0,1,0
tati,0.0625,0.25,0.0625,1.0,1,0
amanda,0.0625,1.0,0.0625,1.0,1,1
laura,0.0625,1.0,0.0625,1.0,1,1
bianca,0.0625,1.0,0.0625,1.0,1,1
maria,0.0625,0.25,0.0625,1.0,1,0
carol,0.0625,0.5,0.0625,1.0,1,0
rosa,0.0625,0.3333333333333333,0.0625,1.0,1,0
rita,0.0625,1.0,0.0625,1.0,1,1
angela,0.0625,1.0,0.0625,1.0,1,1
sara,0.0625,1.0,0.0625,1.0,1,1
bf,0.2,1.0,0.2,1.0,1,1
ex,0.2,0.08333333333333333,0.2,1.0,1,0
gf,0.2,1.0,0.2,1.0,1,1
ain,0.2,0.5,0.2,1.0,1,0
crush,0.2,0.043478260869565216,0.2,1.0,1,0
bea,0.5,1.0,0.5,1.0,1,1
dana,0.5,0.3333333333333333,0.5,1.0,1,0
=,0.5,1.0,0.5,1.0,1,1
%,0.5,1.0,0.5,1.0,1,1
cam,1.0,0.25,1.0,1.0,1,0
user,0.2,0.25,0.2,1.0,1,0
banner,0.2,0.3333333333333333,0.2,1.0,1,0
icon,0.2,0.25,0.2,1.0,1,0
avatar,0.2,0.3333333333333333,0.2,1.0,1,0
gif,0.2,1.0,0.2,1.0,1,1
kik,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
ig,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.0,1,0
mentions,0.3333333333333333,0.0625,0.3333333333333333,1.0,1,0
bando,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
macho,0.16666666666666666,0.5,0.16666666666666666,1.0,1,0
gringo,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
negro,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1,0
mono,0.16666666666666666,0.14285714285714285,0.16666666666666666,1.0,1,0
chino,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
multiply,0.5,0.2,0.5,1.0,1,0
subtract,0.5,0.3333333333333333,0.5,1.0,1,0
notebook,0.5,0.5,0.5,1.0,1,0
laptop,0.5,0.5,0.5,1.0,1,0
harry,0.1111111111111111,0.08333333333333333,0.1111111111111111,1.0,1,0
mila,0.1111111111111111,1.0,0.1111111111111111,1.0,1,1
styles,0.1111111111111111,0.06666666666666667,0.1111111111111111,1.0,1,0
naya,0.1111111111111111,1.0,0.1111111111111111,1.0,1,1
lux,0.1111111111111111,0.5,0.1111111111111111,1.0,1,0
lou,0.1111111111111111,1.0,0.1111111111111111,1.0,1,1
malik,0.1111111111111111,1.0,0.1111111111111111,1.0,1,1
louis,0.1111111111111111,0.25,0.1111111111111111,1.0,1,0
payne,0.1111111111111111,1.0,0.1111111111111111,1.0,1,1
hacked,0.1111111111111111,0.14285714285714285,0.1111111111111111,1.0,1,0
dmed,0.1111111111111111,1.0,0.1111111111111111,1.0,1,1
deactivated,0.2222222222222222,0.6666666666666666,0.1111111111111111,1.0,1,0
retweeted,0.1111111111111111,1.0,0.1111111111111111,1.0,1,1
deactivate,0.1111111111111111,0.5,0.1111111111111111,1.0,1,0
unblocked,0.1111111111111111,0.2,0.1111111111111111,1.0,1,0
unfollowed,0.1111111111111111,1.0,0.1111111111111111,1.0,1,1
unfollwed,0.1111111111111111,1.0,0.1111111111111111,1.0,1,1
unfriended,0.1111111111111111,1.0,0.1111111111111111,1.0,1,1
ans,0.047619047619047616,0.2,0.047619047619047616,1.0,1,0
belle,0.047619047619047616,1.0,0.047619047619047616,1.0,1,1
fait,0.047619047619047616,1.0,0.047619047619047616,1.0,1,1
était,0.047619047619047616,1.0,0.047619047619047616,1.0,1,1
montre,0.047619047619047616,1.0,0.047619047619047616,1.0,1,1
encore,0.047619047619047616,1.0,0.047619047619047616,1.0,1,1
petite,0.047619047619047616,0.14285714285714285,0.047619047619047616,1.0,1,0
quand,0.047619047619047616,1.0,0.047619047619047616,1.0,1,1
qu'il,0.047619047619047616,1.0,0.047619047619047616,1.0,1,1
lui,0.047619047619047616,1.0,0.047619047619047616,1.0,1,1
mdr,0.047619047619047616,1.0,0.047619047619047616,1.0,1,1
juste,0.047619047619047616,1.0,0.047619047619047616,1.0,1,1
elle,0.047619047619047616,1.0,0.047619047619047616,1.0,1,1
sorti,0.047619047619047616,1.0,0.047619047619047616,1.0,1,1
est,0.047619047619047616,0.25,0.047619047619047616,1.0,1,0
une,0.047619047619047616,1.0,0.047619047619047616,1.0,1,1
ça,0.047619047619047616,1.0,0.047619047619047616,1.0,1,1
coup,0.047619047619047616,0.25,0.047619047619047616,1.0,1,0
c'est,0.047619047619047616,1.0,0.047619047619047616,1.0,1,1
aussi,0.047619047619047616,1.0,0.047619047619047616,1.0,1,1
vrai,0.047619047619047616,1.0,0.047619047619047616,1.0,1,1
homi,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
pnc,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
mlk,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
timeline,0.25,1.0,0.25,1.0,1,1
twitta,0.25,1.0,0.25,1.0,1,1
tml,0.25,1.0,0.25,1.0,1,1
tl,0.25,0.25,0.25,1.0,1,0
pow,0.125,0.3333333333333333,0.125,1.0,1,0
boas,0.25,0.6666666666666666,0.125,1.0,1,0
bom,0.125,1.0,0.125,1.0,1,1
boa,0.125,0.5,0.125,1.0,1,0
boaa,0.125,1.0,0.125,1.0,1,1
bora,0.125,1.0,0.125,1.0,1,1
beem,0.125,1.0,0.125,1.0,1,1
booom,0.125,1.0,0.125,1.0,1,1
bff,1.0,1.0,1.0,1.0,1,1
deleting,0.25,0.16666666666666666,0.25,1.0,1,0
myspace,0.25,1.0,0.25,1.0,1,1
deleted,0.25,0.16666666666666666,0.25,1.0,1,0
deactivating,0.25,0.3333333333333333,0.25,1.0,1,0
otp,1.0,1.0,1.0,1.0,1,1
android,0.07142857142857142,0.3333333333333333,0.07142857142857142,1.0,1,0
samsung,0.07142857142857142,1.0,0.07142857142857142,1.0,1,1
gadget,0.07142857142857142,0.125,0.07142857142857142,1.0,1,0
gb,0.07142857142857142,0.07692307692307693,0.07142857142857142,1.0,1,0
auto,0.07142857142857142,0.2,0.07142857142857142,1.0,1,0
ipad,0.07142857142857142,1.0,0.07142857142857142,1.0,1,1
galaxy,0.07142857142857142,0.14285714285714285,0.07142857142857142,1.0,1,0
pc,0.07142857142857142,0.25,0.07142857142857142,1.0,1,0
tab,0.14285714285714285,0.2222222222222222,0.07142857142857142,1.0,1,0
ipod,0.07142857142857142,0.5,0.07142857142857142,1.0,1,0
tablet,0.14285714285714285,0.3333333333333333,0.07142857142857142,1.0,1,0
iphone,0.07142857142857142,1.0,0.07142857142857142,1.0,1,1
apple,0.07142857142857142,0.3333333333333333,0.07142857142857142,1.0,1,0
mini,0.07142857142857142,0.5,0.07142857142857142,1.0,1,0
hyper,0.25,1.0,0.25,1.0,1,1
duper,0.25,1.0,0.25,1.0,1,1
active,0.25,0.125,0.25,1.0,1,0
mode,0.25,0.1111111111111111,0.25,1.0,1,0
maia,0.3333333333333333,0.2,0.3333333333333333,1.0,1,0
simone,0.3333333333333333,1.0,0.3333333333333333,1.0,1,1
musa,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1,0
password,0.2,0.2,0.2,1.0,1,0
passwords,0.4,0.3333333333333333,0.2,1.0,1,0
login,0.2,1.0,0.2,1.0,1,1
account,0.2,0.058823529411764705,0.2,1.0,1,0
username,0.2,1.0,0.2,1.0,1,1
ufo,0.3333333333333333,0.25,0.3333333333333333,1.0,1,0
photographed,0.3333333333333333,0.25,0.3333333333333333,1.0,1,0
spotted,0.3333333333333333,0.05555555555555555,0.3333333333333333,1.0,1,0
adorable,0.09090909090909091,0.3333333333333333,0.09090909090909091,1.0,1,0
cutie,0.09090909090909091,1.0,0.09090909090909091,1.0,1,1
pic,0.09090909090909091,0.07692307692307693,0.09090909090909091,1.0,1,0
gorgeous,0.09090909090909091,1.0,0.09090909090909091,1.0,1,1
handsome,0.09090909090909091,0.07142857142857142,0.09090909090909091,1.0,1,0
sexy,0.09090909090909091,0.3333333333333333,0.09090909090909091,1.0,1,0
avi,0.09090909090909091,1.0,0.09090909090909091,1.0,1,1
sweet,0.09090909090909091,0.034482758620689655,0.09090909090909091,1.0,1,0
cute,0.09090909090909091,0.3333333333333333,0.09090909090909091,1.0,1,0
cutest,0.18181818181818182,0.15384615384615385,0.09090909090909091,1.0,1,0
perf,0.09090909090909091,1.0,0.09090909090909091,1.0,1,1
pau,0.2,1.0,0.2,1.0,1,1
ate,0.2,0.07142857142857142,0.2,1.0,1,0
rum,0.2,0.125,0.2,1.0,1,0
vaca,0.2,1.0,0.2,1.0,1,1
mole,0.2,0.1,0.2,1.0,1,0
tweet,0.2,0.14285714285714285,0.2,1.0,1,0
mention,0.2,0.06666666666666667,0.2,1.0,1,0
spam,0.2,0.3333333333333333,0.2,1.0,1,0
twit,0.2,0.07142857142857142,0.2,1.0,1,0
unfollow,0.2,1.0,0.2,1.0,1,1
real,0.14285714285714285,0.07692307692307693,0.14285714285714285,1.0,1,0
swag,0.14285714285714285,0.06666666666666667,0.14285714285714285,1.0,1,0
hot,0.14285714285714285,0.16666666666666666,0.14285714285714285,1.0,1,0
fake,0.14285714285714285,0.03125,0.14285714285714285,1.0,1,0
old,0.14285714285714285,0.07692307692307693,0.14285714285714285,1.0,1,0
gay,0.14285714285714285,0.0625,0.14285714285714285,1.0,1,0
like,0.14285714285714285,0.09090909090909091,0.14285714285714285,1.0,1,0
wassap,0.2,1.0,0.2,1.0,1,1
msj,0.2,1.0,0.2,1.0,1,1
ym,0.2,1.0,0.2,1.0,1,1
twiiter,0.2,1.0,0.2,1.0,1,1
wasap,0.2,1.0,0.2,1.0,1,1
beto,0.08333333333333333,1.0,0.08333333333333333,1.0,1,1
santos,0.08333333333333333,0.5,0.08333333333333333,1.0,1,0
felipe,0.08333333333333333,1.0,0.08333333333333333,1.0,1,1
rafa,0.08333333333333333,1.0,0.08333333333333333,1.0,1,1
lucas,0.08333333333333333,0.3333333333333333,0.08333333333333333,1.0,1,0
pedro,0.08333333333333333,1.0,0.08333333333333333,1.0,1,1
gabriel,0.08333333333333333,0.5,0.08333333333333333,1.0,1,0
fran,0.08333333333333333,1.0,0.08333333333333333,1.0,1,1
victor,0.08333333333333333,0.25,0.08333333333333333,1.0,1,0
manu,0.08333333333333333,1.0,0.08333333333333333,1.0,1,1
diego,0.08333333333333333,1.0,0.08333333333333333,1.0,1,1
cris,0.08333333333333333,1.0,0.08333333333333333,1.0,1,1
douglas,0.2,0.2,0.2,1.0,1,0
bambam,0.2,1.0,0.2,1.0,1,1
glover,0.2,1.0,0.2,1.0,1,1
evans,0.2,0.2,0.2,1.0,1,0
anderson,0.2,0.1,0.2,1.0,1,0
gd,0.14285714285714285,0.16666666666666666,0.14285714285714285,1.0,1,0
junior,0.14285714285714285,0.16666666666666666,0.14285714285714285,1.0,1,0
mc,0.14285714285714285,0.16666666666666666,0.14285714285714285,1.0,1,0
cr,0.14285714285714285,0.25,0.14285714285714285,1.0,1,0
cl,0.14285714285714285,0.125,0.14285714285714285,1.0,1,0
tiffany,0.14285714285714285,0.3333333333333333,0.14285714285714285,1.0,1,0
member,0.14285714285714285,0.16666666666666666,0.14285714285714285,1.0,1,0
resolve,0.14285714285714285,0.06666666666666667,0.14285714285714285,1.0,1,0
memo,0.14285714285714285,0.3333333333333333,0.14285714285714285,1.0,1,0
legal,0.14285714285714285,0.3333333333333333,0.14285714285714285,1.0,1,0
moral,0.14285714285714285,0.5,0.14285714285714285,1.0,1,0
mt,0.14285714285714285,0.08333333333333333,0.14285714285714285,1.0,1,0
pros,0.14285714285714285,0.3333333333333333,0.14285714285714285,1.0,1,0
role,0.14285714285714285,0.1111111111111111,0.14285714285714285,1.0,1,0
klowns,1.0,1.0,1.0,1.0,1,1
perry,0.05263157894736842,0.16666666666666666,0.05263157894736842,1.0,1,0
ariana,0.05263157894736842,0.5,0.05263157894736842,1.0,1,0
jb,0.05263157894736842,1.0,0.05263157894736842,1.0,1,1
adele,0.05263157894736842,1.0,0.05263157894736842,1.0,1,1
katy,0.05263157894736842,1.0,0.05263157894736842,1.0,1,1
jonas,0.05263157894736842,1.0,0.05263157894736842,1.0,1,1
cyrus,0.05263157894736842,0.3333333333333333,0.05263157894736842,1.0,1,0
mars,0.05263157894736842,0.07692307692307693,0.05263157894736842,1.0,1,0
rihanna,0.05263157894736842,1.0,0.05263157894736842,1.0,1,1
direction,0.05263157894736842,0.0625,0.05263157894736842,1.0,1,0
gaga,0.05263157894736842,0.14285714285714285,0.05263157894736842,1.0,1,0
britney,0.05263157894736842,1.0,0.05263157894736842,1.0,1,1
bieber,0.05263157894736842,1.0,0.05263157894736842,1.0,1,1
swift,0.05263157894736842,0.1111111111111111,0.05263157894736842,1.0,1,0
taylor,0.05263157894736842,0.14285714285714285,0.05263157894736842,1.0,1,0
bruno,0.05263157894736842,0.14285714285714285,0.05263157894736842,1.0,1,0
justin,0.05263157894736842,1.0,0.05263157894736842,1.0,1,1
selena,0.05263157894736842,1.0,0.05263157894736842,1.0,1,1
miley,0.05263157894736842,1.0,0.05263157894736842,1.0,1,1
très,1.0,1.0,1.0,1.0,1,1
professor,1.0,0.5,1.0,1.0,1,0
divorced,0.6666666666666666,0.2857142857142857,0.3333333333333333,1.0,1,0
divorce,0.3333333333333333,0.14285714285714285,0.3333333333333333,1.0,1,0
engaged,0.3333333333333333,0.03571428571428571,0.3333333333333333,1.0,1,0
doer,0.25,0.3333333333333333,0.25,1.0,1,0
rir,0.25,1.0,0.25,1.0,1,1
bico,0.25,1.0,0.25,1.0,1,1
cmg,0.25,1.0,0.25,1.0,1,1
blonde,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1,0
blond,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1,0
chubby,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1,0
audrey,0.14285714285714285,1.0,0.14285714285714285,1.0,1,1
nancy,0.14285714285714285,0.5,0.14285714285714285,1.0,1,0
sarah,0.14285714285714285,0.5,0.14285714285714285,1.0,1,0
justine,0.14285714285714285,1.0,0.14285714285714285,1.0,1,1
marie,0.14285714285714285,1.0,0.14285714285714285,1.0,1,1
julie,0.14285714285714285,1.0,0.14285714285714285,1.0,1,1
camille,0.14285714285714285,1.0,0.14285714285714285,1.0,1,1
tierd,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
aggravated,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1,0
sleeply,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
boredd,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
fustrated,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
irratated,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
|,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
],0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
[,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
via,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
–,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
-,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
joaquin,0.2,1.0,0.2,1.0,1,1
khalil,0.2,1.0,0.2,1.0,1,1
marlo,0.2,1.0,0.2,1.0,1,1
ully,0.2,1.0,0.2,1.0,1,1
ethel,0.2,1.0,0.2,1.0,1,1
pronto,0.04,0.3333333333333333,0.04,1.0,1,0
para,0.04,0.1111111111111111,0.04,1.0,1,0
mundo,0.04,1.0,0.04,1.0,1,1
todo,0.04,1.0,0.04,1.0,1,1
nunca,0.04,1.0,0.04,1.0,1,1
mas,0.04,0.05263157894736842,0.04,1.0,1,0
vida,0.04,1.0,0.04,1.0,1,1
nos,0.04,0.2,0.04,1.0,1,0
nada,0.04,0.07142857142857142,0.04,1.0,1,0
justo,0.04,1.0,0.04,1.0,1,1
estamos,0.04,1.0,0.04,1.0,1,1
porque,0.04,1.0,0.04,1.0,1,1
tal,0.04,1.0,0.04,1.0,1,1
amigos,0.04,0.5,0.04,1.0,1,0
que,0.04,1.0,0.04,1.0,1,1
amor,0.04,0.3333333333333333,0.04,1.0,1,0
como,0.04,1.0,0.04,1.0,1,1
ser,0.04,1.0,0.04,1.0,1,1
sabe,0.04,1.0,0.04,1.0,1,1
dias,0.04,0.14285714285714285,0.04,1.0,1,0
familia,0.04,1.0,0.04,1.0,1,1
todos,0.04,1.0,0.04,1.0,1,1
por,0.04,1.0,0.04,1.0,1,1
seguir,0.04,1.0,0.04,1.0,1,1
favor,0.04,0.16666666666666666,0.04,1.0,1,0
plus,0.1111111111111111,0.2,0.1111111111111111,1.0,1,0
ton,0.1111111111111111,0.2,0.1111111111111111,1.0,1,0
stp,0.1111111111111111,0.3333333333333333,0.1111111111111111,1.0,1,0
tel,0.1111111111111111,1.0,0.1111111111111111,1.0,1,1
mon,0.1111111111111111,0.3333333333333333,0.1111111111111111,1.0,1,0
arrive,0.1111111111111111,0.16666666666666666,0.1111111111111111,1.0,1,0
direct,0.1111111111111111,0.03225806451612903,0.1111111111111111,1.0,1,0
aura,0.1111111111111111,0.125,0.1111111111111111,1.0,1,0
sac,0.1111111111111111,0.14285714285714285,0.1111111111111111,1.0,1,0
with,0.2,1.0,0.2,1.0,1,1
from,0.2,1.0,0.2,1.0,1,1
&,0.2,1.0,0.2,1.0,1,1
twin,0.2,0.07142857142857142,0.2,1.0,1,0
and,0.2,1.0,0.2,1.0,1,1
vines,0.25,0.5,0.25,1.0,1,0
memes,0.25,0.5,0.25,1.0,1,0
hashtags,0.25,1.0,0.25,1.0,1,1
gifs,0.25,1.0,0.25,1.0,1,1
malaysia,0.2,0.3333333333333333,0.2,1.0,1,0
muslim,0.2,0.25,0.2,1.0,1,0
anti,0.2,1.0,0.2,1.0,1,1
arab,0.2,0.3333333333333333,0.2,1.0,1,0
islam,0.2,0.16666666666666666,0.2,1.0,1,0
dar,0.07692307692307693,1.0,0.07692307692307693,1.0,1,1
ver,0.07692307692307693,0.25,0.07692307692307693,1.0,1,0
luz,0.07692307692307693,1.0,0.07692307692307693,1.0,1,1
cena,0.07692307692307693,1.0,0.07692307692307693,1.0,1,1
casa,0.07692307692307693,1.0,0.07692307692307693,1.0,1,1
gente,0.07692307692307693,1.0,0.07692307692307693,1.0,1,1
ir,0.07692307692307693,0.16666666666666666,0.07692307692307693,1.0,1,0
fila,0.07692307692307693,0.3333333333333333,0.07692307692307693,1.0,1,0
lista,0.07692307692307693,1.0,0.07692307692307693,1.0,1,1
toda,0.07692307692307693,0.5,0.07692307692307693,1.0,1,0
ido,0.07692307692307693,0.5,0.07692307692307693,1.0,1,0
vi,0.07692307692307693,0.0625,0.07692307692307693,1.0,1,0
mano,0.07692307692307693,1.0,0.07692307692307693,1.0,1,1
camilla,1.0,1.0,1.0,1.0,1,1
gabrielle,0.14285714285714285,1.0,0.14285714285714285,1.0,1,1
pitty,0.14285714285714285,1.0,0.14285714285714285,1.0,1,1
tammy,0.14285714285714285,0.3333333333333333,0.14285714285714285,1.0,1,0
isis,0.14285714285714285,0.2,0.14285714285714285,1.0,1,0
aisha,0.14285714285714285,1.0,0.14285714285714285,1.0,1,1
monique,0.14285714285714285,1.0,0.14285714285714285,1.0,1,1
jonylah,0.14285714285714285,1.0,0.14285714285714285,1.0,1,1
sr,0.5,0.2,0.5,1.0,1,0
md,0.5,0.06666666666666667,0.5,1.0,1,0
ogs,0.5,1.0,0.5,1.0,1,1
ivy,0.5,0.25,0.5,1.0,1,0
films,1.0,0.11764705882352941,0.5,1.0,1,0
film,0.5,0.0625,0.5,1.0,1,0
chyna,0.25,1.0,0.25,1.0,1,1
blac,0.25,1.0,0.25,1.0,1,1
edai,0.25,1.0,0.25,1.0,1,1
keisha,0.25,1.0,0.25,1.0,1,1
pamela,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
raquel,0.16666666666666666,1.0,0.16666666666666666,1.0,1,1
